snapshot_date,brand,model,mechanic,retail_usd,credit_usd,monthly_high_usd,monthly_mid_usd,monthly_low_usd,on_us_high,on_us_mid,on_us_low,plan,line_action,trade_in_required,any_condition,tiv,term_months,headline,source_url,confidence
2026-08-18,Google,Pixel 10 Pro XL,EIP,1199.99,650.0,15.27,,,False,False,False,Eligible unlimited plan,Offer-dependent,False,False,,36,Save up to $650 on a Tablet Save up to $650 on a Tablet Save up to $650 on a Tablet,https://www.verizon.com/smartphones/smartphones/google-pixel-10-pro-xl/,High
2026-08-18,Google,Pixel 10a,EIP,499.99,650.0,0.0,,,True,False,False,Eligible unlimited plan,Offer-dependent,False,False,,36,Save up to $650 on a Tablet Save up to $650 on a Tablet Save up to $650 on a Tablet,https://www.verizon.com/smartphones/smartphones/google-pixel-10a/,High
2026-08-18,Google,Pixel 11,Trade-in,899.99,900.0,0.0,,,True,False,False,Eligible unlimited plan,Offer-dependent,True,False,,36,Trade in and save up to $900. Trade in and save up to $900.,https://www.verizon.com/smartphones/smartphones/google-pixel-11/,High
2026-08-18,Google,Pixel 11 Pro,Trade-in,1099.99,1100.0,0.0,,,True,False,False,Eligible unlimited plan,Offer-dependent,True,False,,36,Trade in and save up to $1100. Trade in and save up to $1100.,https://www.verizon.com/smartphones/smartphones/google-pixel-11-pro/,High
2026-08-18,Google,Pixel 11 Pro Fold,Trade-in,1899.99,1100.0,22.21,,,False,False,False,Eligible unlimited plan,Offer-dependent,True,False,,36,Trade in and save up to $1100. Trade in and save up to $1100.,https://www.verizon.com/smartphones/smartphones/google-pixel-11-pro-fold/,High
2026-08-18,Google,Pixel 11 Pro XL,Trade-in,1299.99,1100.0,5.55,,,False,False,False,Eligible unlimited plan,Offer-dependent,True,False,,36,Trade in and save up to $1100. Trade in and save up to $1100.,https://www.verizon.com/smartphones/smartphones/google-pixel-11-pro-xl/,High
2026-08-18,Google,Pixel 8 Pro (Certified Pre-Owned),EIP,302.99,650.0,0.0,,,True,False,False,Eligible unlimited plan,Offer-dependent,False,False,,36,Save up to $650 on a Tablet Save up to $650 on a Tablet Save up to $650 on a Tablet,https://www.verizon.com/smartphones/smartphones/google-pixel-8-pro-certified-pre-owned/,High
2026-08-18,Google,Pixel 9 (Certified Pre-Owned),EIP,447.99,650.0,0.0,,,True,False,False,Eligible unlimited plan,Offer-dependent,False,False,,36,Save up to $650 on a Tablet Save up to $650 on a Tablet Save up to $650 on a Tablet,https://www.verizon.com/smartphones/smartphones/google-pixel-9-certified-pre-owned/,High
2026-08-18,Google,Pixel 9 Pro,EIP,999.99,650.0,9.71,,,False,False,False,Eligible unlimited plan,Offer-dependent,False,False,,36,Save up to $650 on a Tablet Save up to $650 on a Tablet Save up to $650 on a Tablet,https://www.verizon.com/smartphones/smartphones/google-pixel-9-pro/,High
2026-08-18,Google,Pixel 9 Pro (Certified Pre-Owned),EIP,479.99,650.0,0.0,,,True,False,False,Eligible unlimited plan,Offer-dependent,False,False,,36,Save up to $650 on a Tablet Save up to $650 on a Tablet Save up to $650 on a Tablet,https://www.verizon.com/smartphones/smartphones/google-pixel-9-pro-certified-pre-owned/,High
2026-08-18,Google,Pixel 9 Pro Fold (Certified Pre-Owned),EIP,719.99,650.0,1.93,,,False,False,False,Eligible unlimited plan,Offer-dependent,False,False,,36,Save up to $650 on a Tablet Save up to $650 on a Tablet Save up to $650 on a Tablet,https://www.verizon.com/smartphones/smartphones/google-pixel-9-pro-fold-certified-pre-owned/,High
2026-08-18,Google,Pixel 9 Pro XL (Certified Pre-Owned),EIP,460.99,650.0,0.0,,,True,False,False,Eligible unlimited plan,Offer-dependent,False,False,,36,Save up to $650 on a Tablet Save up to $650 on a Tablet Save up to $650 on a Tablet,https://www.verizon.com/smartphones/smartphones/google-pixel-9-pro-xl-certified-pre-owned/,High
2026-08-18,Google,Pixel 9a,EIP,499.99,650.0,0.0,,,True,False,False,Eligible unlimited plan,Offer-dependent,False,False,,36,Save up to $650 on a Tablet Save up to $650 on a Tablet Save up to $650 on a Tablet,https://www.verizon.com/smartphones/smartphones/google-pixel-9a/,High
2026-08-18,Google,Pixel 9a (Certified Pre-Owned),EIP,327.99,650.0,0.0,,,True,False,False,Eligible unlimited plan,Offer-dependent,False,False,,36,Save up to $650 on a Tablet Save up to $650 on a Tablet Save up to $650 on a Tablet,https://www.verizon.com/smartphones/smartphones/google-pixel-9a-certified-pre-owned/,High
2026-08-18,Motorola,edge - 2025,EIP,399.99,650.0,0.0,,,True,False,False,Eligible unlimited plan,Offer-dependent,False,False,,36,Save up to $650 on a Tablet Save up to $650 on a Tablet Save up to $650 on a Tablet,https://www.verizon.com/smartphones/smartphones/motorola-edge-2025/,High
2026-08-18,Motorola,edge - 2026,EIP,529.99,650.0,0.0,,,True,False,False,Eligible unlimited plan,Offer-dependent,False,False,,36,Save up to $650 on a Tablet Save up to $650 on a Tablet Save up to $650 on a Tablet,https://www.verizon.com/smartphones/smartphones/motorola-edge-2026/,High
2026-08-18,Motorola,edge+,EIP,869.99,650.0,6.1,,,False,False,False,Eligible unlimited plan,Offer-dependent,False,False,,36,Save up to $650 on a Tablet Save up to $650 on a Tablet Save up to $650 on a Tablet,https://www.verizon.com/smartphones/smartphones/motorola-edge-plus/,High
2026-08-18,Motorola,edge+ 5G UW,EIP,849.99,650.0,5.55,,,False,False,False,Eligible unlimited plan,Offer-dependent,False,False,,36,Save up to $650 on a Tablet Save up to $650 on a Tablet Save up to $650 on a Tablet,https://www.verizon.com/smartphones/smartphones/motorola-edge-plus-5g-uw/,High
2026-08-18,Motorola,moto g - 2026,EIP,279.99,650.0,0.0,,,True,False,False,Eligible unlimited plan,Offer-dependent,False,False,,36,Save up to $650 on a Tablet Save up to $650 on a Tablet Save up to $650 on a Tablet,https://www.verizon.com/smartphones/smartphones/motorola-moto-g-2026/,High
2026-08-18,Motorola,razr - 2026,EIP,799.99,800.0,0.0,,,True,False,False,Eligible unlimited plan,Offer-dependent,False,False,,36,Save $800. Save $800.,https://www.verizon.com/smartphones/smartphones/motorola-razr-2026/,High
2026-08-18,Motorola,razr 2025,EIP,599.99,650.0,0.0,,,True,False,False,Eligible unlimited plan,Offer-dependent,False,False,,36,Save up to $650 on a Tablet Save up to $650 on a Tablet Save up to $650 on a Tablet,https://www.verizon.com/smartphones/smartphones/motorola-razr-2025/,High
2026-08-18,Motorola,razr FIFA World Cup 26&#8482; Edition,EIP,599.99,650.0,0.0,,,True,False,False,Eligible unlimited plan,Offer-dependent,False,False,,36,Save up to $650 on a Tablet Save up to $650 on a Tablet Save up to $650 on a Tablet,https://www.verizon.com/smartphones/smartphones/motorola-razr-fifa-world-cup-26-edition/,High
2026-08-18,Samsung,Galaxy A15 5G (Certified Pre-Owned),EIP,119.99,250.0,0.0,,,True,False,False,Eligible unlimited plan,Offer-dependent,False,False,,36,Save up to $250 on a Pixel Watch 5 Save up to $250 on a Pixel Watch 5 Save up to $250 on a Pixel Watch 5,https://www.verizon.com/smartphones/smartphones/samsung-galaxy-a15-5g-certified-pre-owned/,High
2026-08-18,Samsung,Galaxy A16 5G,EIP,199.99,250.0,0.0,,,True,False,False,Eligible unlimited plan,Offer-dependent,False,False,,36,Save up to $250 on a Pixel Watch 5 Save up to $250 on a Pixel Watch 5 Save up to $250 on a Pixel Watch 5,https://www.verizon.com/smartphones/smartphones/samsung-galaxy-a16-5g/,High
2026-08-18,Samsung,Galaxy A16 5G (Certified Pre-Owned),EIP,144.99,250.0,0.0,,,True,False,False,Eligible unlimited plan,Offer-dependent,False,False,,36,Save up to $250 on a Pixel Watch 5 Save up to $250 on a Pixel Watch 5 Save up to $250 on a Pixel Watch 5,https://www.verizon.com/smartphones/smartphones/samsung-galaxy-a16-5g-certified-pre-owned/,High
